pagina,material,espesor_mm,precio_rmb_m2
14,免漆板,18,201
14,免漆板板；油漆色处理,9,166
14,免漆板板；油漆色处理,18,201
14,免漆板板；油漆色处理,25,220
14,免漆板板；油漆色处理,40,423
14,免漆板板；油漆色处理,60,508
14,免漆板板；油漆色处理,70,545
14,近油漆色处理,18,233
14,近油漆色处理,25,256
14,免漆欧松板近油漆色处理,18,265
14,免漆欧松板近油漆色处理,25,305
14,免漆复合油漆色处理,9,197
14,免漆复合油漆色处理,18,280
14,免漆复合油漆色处理,25,344
15,免漆板,18,213
15,板；,9,179
15,板；,18,213
15,板；,25,242
15,板；,40,456
15,板；,60,543
15,板；,70,579
15,,18,241
15,,25,268
16,免漆欧松板,18,284
16,免漆欧松板,25,323
17,免漆复合,9,208
17,免漆复合,18,291
17,免漆复合,25,355
17,免漆板色处理,9,213
17,免漆板色处理,18,248
17,免漆板色处理,25,291
17,免漆板,9,274
17,免漆板,18,344
17,免漆板,25,410
18,,18,302
18,,25,331
18,免漆欧松板,18,324
18,免漆欧松板,25,366
19,面；,18,259
19,面；,25,366
19,,18,330
19,手奥尔良橡木,18,402
19,手奥尔良橡木,25,489
19,手,18,402
19,手,25,489
20,板双面贴巴新胡桃木皮,9,1020
20,板双面贴巴新胡桃木皮,18,1129
20,板双面贴巴新胡桃木皮,25,1190
20,板（封闭漆）双面贴巴新胡桃木皮,18,1273
20,板（封闭漆）双面贴巴新胡桃木皮,25,1349
20,双面贴巴新胡桃木皮,18,1771
20,双面贴巴新胡桃木皮,25,2011
20,桃木皮,18,1286
20,桃木皮,25,1374
21,木皮板双面贴巴新胡桃木皮,9,788
21,木皮板双面贴巴新胡桃木皮,18,848
21,木皮板双面贴巴新胡桃木皮,25,899
21,木皮板双面贴巴新胡桃木皮,40,962
21,木皮板双面贴巴新胡桃木皮,60,1021
21,木皮板双面贴巴新胡桃木皮,70,1048
21,双面铝蜂窝木皮板双面贴巴新胡桃木皮,18,1180
21,双面铝蜂窝木皮板双面贴巴新胡桃木皮,25,1341
21,木皮板双面贴巴新胡桃木皮,18,857
21,木皮板双面贴巴新胡桃木皮,25,916
21,多层木皮板双面贴巴新胡桃木皮,9,816
21,多层木皮板双面贴巴新胡桃木皮,18,896
21,多层木皮板双面贴巴新胡桃木皮,25,961
21,多层木皮板双面贴巴新胡桃木皮,40,1019
21,多层木皮板双面贴巴新胡桃木皮,60,1077
21,多层木皮板双面贴巴新胡桃木皮,70,1105
21,单面中纤木皮板面贴巴新胡桃木皮,9,544
21,单面中纤木皮板面贴巴新胡桃木皮,12,578
21,单面中纤木皮板面贴巴新胡桃木皮,15,592
21,单面中纤木皮板面贴巴新胡桃木皮,18,619
21,单面中纤木皮板面贴巴新胡桃木皮,25,683
21,单面复合单面贴巴新胡桃木皮,9,582
21,单面复合单面贴巴新胡桃木皮,12,626
21,单面复合单面贴巴新胡桃木皮,15,654
21,单面复合单面贴巴新胡桃木皮,18,683
21,单面复合单面贴巴新胡桃木皮,25,765
21,单面欧松木皮板单面贴巴新胡桃木皮,18,631
21,单面欧松木皮板单面贴巴新胡桃木皮,25,705
22,木皮板双面贴烟熏欧橡木皮,9,966
22,木皮板双面贴烟熏欧橡木皮,18,1027
22,木皮板双面贴烟熏欧橡木皮,25,1078
22,木皮板双面贴烟熏欧橡木皮,40,1140
22,木皮板双面贴烟熏欧橡木皮,60,1199
22,木皮板双面贴烟熏欧橡木皮,70,1226
22,双面铝蜂窝木皮板双面贴丝,18,1359
